s_cpu,s_mem,s_node_frag,s_active,s_lbf_c,s_lbf_m,b_cpu_avg,b_mem_avg,w_pod,w_cpu,w_mem,w_pow,r_pow,r_node_frag,r_paper_frag,r_unsched,r_active,r_lbf_c,r_lbf_m
0.5621,0.6708,0.3603,30,0.592,0.5098,1.0036,4.9834,0.1168,0.4051,0.3262,0.152,7494.58,0.320797,0.0,0.0,30,0.5581,0.4583
0.609,0.7102,0.3208,30,0.5581,0.4583,1.0446,4.9453,0.2226,0.3455,0.1916,0.2403,7877.17,0.281786,0.0,0.0,30,0.4561,0.3567
0.6512,0.7493,0.2818,30,0.4561,0.3567,0.9632,5.1527,0.0494,0.835,0.0246,0.0911,7942.57,0.242254,0.0,0.0,30,0.438,0.3174
0.6934,0.7888,0.2423,30,0.438,0.3174,1.0616,4.9079,0.226,0.2501,0.2142,0.3098,8171.93,0.202487,0.0,0.0,30,0.3805,0.2465
0.7313,0.8291,0.2025,30,0.3805,0.2465,1.0218,4.9838,0.2529,0.2085,0.2923,0.2463,8355.02,0.163234,0.0,0.0,30,0.3198,0.1804
0.7628,0.873,0.1632,30,0.3198,0.1804,0.984,4.9124,0.2934,0.1225,0.3376,0.2465,8411.95,0.141541,0.004812,0.034,30,0.2989,0.1308
0.7843,0.8947,0.1415,30,0.2989,0.1308,0.9538,5.0096,0.0725,0.8166,0.0683,0.0425,8412.43,0.141182,0.016942,0.12,30,0.2991,0.1313
0.785,0.8954,0.1412,30,0.2991,0.1313,0.941,5.0309,0.0663,0.0156,0.8142,0.1039,8412.43,0.141182,0.027295,0.1933,30,0.2991,0.1313
0.0,0.0,1.0,0,0,0,0.9666,4.9571,0.8494,0.0434,0.0925,0.0147,6327.34,0.681472,0.0,0.0,30,1.0773,0.9599
0.2999,0.3253,0.6815,30,1.0773,0.9599,0.9936,5.0345,0.1276,0.2783,0.2623,0.3318,6518.49,0.511982,0.0,0.0,30,0.8425,0.7527
0.4626,0.5012,0.512,30,0.8425,0.7527,1.0866,5.0313,0.2071,0.1489,0.1825,0.4616,7077.56,0.425242,0.0,0.0,30,0.654,0.6132
0.5395,0.5939,0.4252,30,0.654,0.6132,1.0246,4.8936,0.2364,0.2487,0.3272,0.1877,7575.05,0.381028,0.0,0.0,30,0.5315,0.4935
0.5813,0.6385,0.381,30,0.5315,0.4935,0.9886,5.1337,0.3678,0.1636,0.0687,0.3999,7903.38,0.340981,0.0,0.0,30,0.43,0.384
0.6216,0.6787,0.341,30,0.43,0.384,0.9206,5.0182,0.3125,0.1797,0.2447,0.2632,8036.97,0.298203,0.0,0.0,30,0.3791,0.3287
0.6621,0.7232,0.2982,30,0.3791,0.3287,1.0106,4.9943,0.1546,0.467,0.1369,0.2415,8084.15,0.259431,0.0,0.0,30,0.3825,0.3084
0.7081,0.7619,0.2594,30,0.3825,0.3084,1.062,4.9544,0.375,0.2477,0.1219,0.2554,8274.87,0.220947,0.0,0.0,30,0.3189,0.2228
0.747,0.8005,0.2209,30,0.3189,0.2228,0.9556,4.9825,0.1784,0.407,0.0635,0.3512,8347.84,0.18409,0.0,0.0,30,0.2932,0.1818
0.7805,0.8387,0.1841,30,0.2932,0.1818,0.9804,5.0012,0.3463,0.3825,0.1392,0.132,8425.02,0.15975,0.006071,0.038,30,0.2596,0.1567
0.8003,0.8671,0.1598,30,0.2596,0.1567,1.0224,5.0615,0.0717,0.0774,0.837,0.0138,8425.02,0.15975,0.020041,0.1255,30,0.2596,0.1567
