s_cpu,s_mem,s_frag,w_pod,w_cpu,w_mem,w_pow,r_frag,r_unsched,r_pow,r_lbf_c,r_lbf_m
0.8345438596491228,0.9100696491745283,0.02946848940514963,0.2723,0.2792,0.1431,0.3055,0.03863096090086842,0.26,8415.223425041955,0.26149074590491195,0.13970263125142576
0.0,0.0,0.0,0.3596,0.334,0.1204,0.1859,0.0,0.0,1919.6086251603563,1.016837960178233,0.8976943813087255
0.08454385964912282,0.09337411556603774,0.0,0.2009,0.193,0.1243,0.4819,0.0,0.0,3228.184600102959,0.803133668187434,0.7308702980513369
0.17728070175438593,0.1880944133254717,0.0,0.177,0.1191,0.3305,0.3735,0.0,0.0,7101.376901275613,0.644318012386056,0.5980209509988649
0.2692105263157895,0.2854967570754717,0.0,0.2128,0.2431,0.2064,0.3377,0.0,0.0,7573.525018906199,0.5186983567006592,0.4802240676114278
0.35950877192982456,0.3777030512971698,0.0,0.4399,0.1856,0.1868,0.1877,0.0,0.0,7802.015528846546,0.4433613638515658,0.407304147330151
0.44619298245614036,0.4734474498820755,0.0,0.3203,0.1825,0.2411,0.2561,0.0,0.0,7937.639427286817,0.40643727451201367,0.3573825626457704
0.5358771929824562,0.5679956515330189,0.0,0.2065,0.2315,0.1015,0.4605,0.0,0.0,8100.968538515184,0.36827352407323016,0.29695037067651425
0.6311052631578946,0.6616520489386792,0.0,0.3838,0.2742,0.2411,0.1008,0.0,0.0,8250.514953416714,0.32418173363231356,0.23313742802249643
0.7152631578947367,0.7555594044811321,0.0,0.3266,0.3298,0.1266,0.217,0.0,0.0,8373.979110570668,0.280478038872164,0.1786659069243784
0.8042631578947369,0.8525420106132076,0.0,0.3972,0.1448,0.3692,0.0888,0.01007161079819611,0.058,8424.497377069245,0.25787300484881515,0.15761869800092307
0.8427017543859648,0.8920176149764151,0.01007161079819611,0.2368,0.202,0.292,0.2691,0.024942233638165914,0.14363636363636365,8424.497377069245,0.25787300484881515,0.15761869800092307
0.8427017543859648,0.8920176149764151,0.024942233638165914,0.2523,0.2312,0.1067,0.4098,0.03733441933814074,0.215,8424.497377069245,0.25787300484881515,0.15761869800092307
0.8427017543859648,0.8920176149764151,0.03733441933814074,0.3453,0.3263,0.1573,0.1711,0.04782011493042714,0.2753846153846154,8424.497377069245,0.25787300484881515,0.15761869800092307
0.0,0.0,0.0,0.3001,0.1885,0.1849,0.3265,0.0,0.0,1953.8221060436217,0.9726736755419626,0.8916310646265327
0.09168421052631578,0.09409456073113208,0.0,0.3321,0.4278,0.0878,0.1523,0.0,0.0,2839.5325475819955,0.8014252967432747,0.7273873175914255
0.1745263157894737,0.19026385613207547,0.0,0.445,0.0605,0.1017,0.3928,0.0,0.0,7081.401852559476,0.655624236806217,0.6044158195314835
0.264421052631579,0.2823072670990566,0.0,0.1077,0.4588,0.235,0.1984,0.0,0.0,7534.879945474439,0.5354395841739901,0.4818681741303154
0.34868421052631576,0.3766251474056604,0.0,0.2024,0.2856,0.2296,0.2824,0.0,0.0,7757.514195013467,0.45960796498978407,0.40753095175161164
0.4326315789473685,0.4702822818396226,0.0,0.2839,0.3065,0.1918,0.2178,0.0,0.0,7841.8575823567635,0.4405807049902084,0.3746932756694673
0.5184035087719299,0.5650574882075472,0.0,0.1542,0.2179,0.1116,0.5163,0.0,0.0,8058.595064497755,0.39129974603988776,0.2930382463792671
0.6083508771929825,0.6617334905660377,0.0,0.0648,0.3199,0.2819,0.3334,0.0,0.0,8184.65205799094,0.353195397535707,0.23720031151737664
0.6919649122807019,0.7548478036556604,0.0,0.1633,0.4921,0.2575,0.0871,0.0,0.0,8353.779617623713,0.2918181804172279,0.1652271900472509
0.7818421052631579,0.8495935288915094,0.0,0.3598,0.2228,0.2194,0.198,0.005925587890312933,0.036,8420.939720050586,0.26814001177457614,0.14477152061012014
0.8395263157894737,0.9095721550707547,0.005925587890312933,0.2737,0.2607,0.238,0.2276,0.02035050386572118,0.12363636363636364,8420.939720050586,0.26814001177457614,0.14477152061012014
0.8395263157894737,0.9095721550707547,0.02035050386572118,0.0834,0.1387,0.3457,0.4322,0.03237126717856139,0.19666666666666666,8420.939720050586,0.26814001177457614,0.14477152061012014
0.8395263157894737,0.9095721550707547,0.03237126717856139,0.1433,0.4021,0.3213,0.1333,0.04254268228942618,0.25846153846153846,8420.939720050586,0.26814001177457614,0.14477152061012014
0.0,0.0,0.0,0.2871,0.3094,0.2441,0.1594,0.0,0.0,1932.1590731779788,0.994669638507611,0.9077403567349236
0.085140350877193,0.09760170990566037,0.0,0.0584,0.2,0.3158,0.4258,0.0,0.0,2105.1292905643436,0.814212261552672,0.7364448237033161
0.16891228070175437,0.1924959463443396,0.0,0.6211,0.0733,0.1841,0.1215,0.0,0.0,7059.187577028936,0.6621227508509925,0.6118795812425009
0.26312280701754387,0.28881375294811323,0.0,0.2605,0.1807,0.2862,0.2725,0.0,0.0,7506.721246715656,0.5445490885382736,0.49140391454176524
0.3439122807017543,0.38454119988207547,0.0,0.3074,0.3412,0.048,0.3035,0.0,0.0,7742.697213610967,0.4609395781897033,0.41545913629528197
0.4309473684210526,0.47719781839622644,0.0,0.4284,0.1357,0.2024,0.2335,0.0,0.0,7824.182285300098,0.4445300541843541,0.37516518289870426
0.511842105263158,0.5701053950471698,0.0,0.1169,0.3681,0.3927,0.1224,0.0,0.0,7981.276358967053,0.4116352370936504,0.31206983352824413
0.6030877192982457,0.6639980100235849,0.0,0.4031,0.193,0.1894,0.2145,0.0,0.0,8202.68756941526,0.35410134546741223,0.2417633795815325
0.6985087719298247,0.7589279923349057,0.0,0.2765,0.1343,0.4281,0.1611,0.0,0.0,8359.78212087233,0.29720869371879166,0.16658885526367218
0.7911754385964914,0.8538981426886793,0.0,0.1268,0.4576,0.3283,0.0873,0.0054306976226683595,0.038,8428.39967859419,0.27237069302248024,0.13527483772939028
